op_class,op_name,shape,n_reps,vulkano_us_median,vulkano_us_p95,binary_us_median,binary_us_p95,speedup
binary,add,"{256}",30,74.000,459.000,124.000,187.000,1.676
binary,add,"{1024}",30,68.000,75.000,597.000,704.000,8.779
binary,add,"{4096}",30,97.000,131.000,2555.000,5950.000,26.340
binary,add,"{16384}",30,118.000,133.000,12826.000,20952.000,108.695
binary,add,"{65536}",30,180.000,476.000,63070.000,73465.000,350.389
binary,add,"{262144}",30,1297.000,1611.000,341767.000,457219.000,263.506
binary,add,"{1048576}",30,10469.000,17406.000,2122631.000,2400652.000,202.754
binary,multiply,"{256}",30,96.000,783.000,154.000,164.000,1.604
binary,multiply,"{1024}",30,101.000,10410.000,609.000,645.000,6.030
binary,multiply,"{4096}",30,114.000,805.000,2753.000,6790.000,24.149
binary,multiply,"{16384}",30,181.000,217.000,11869.000,19582.000,65.575
binary,multiply,"{65536}",30,435.000,1255.000,68318.000,73176.000,157.053
binary,multiply,"{262144}",30,1497.000,2260.000,337678.000,601723.000,225.570
binary,multiply,"{1048576}",30,6201.000,6256.000,1982072.000,2171220.000,319.637
binary,subtract,"{256}",30,90.000,788.000,83.000,86.000,0.922
binary,subtract,"{1024}",30,94.000,107.000,458.000,81407.000,4.872
binary,subtract,"{4096}",30,113.000,814.000,1550.000,13884.000,13.717
binary,subtract,"{16384}",30,182.000,999.000,7518.000,19231.000,41.308
binary,subtract,"{65536}",30,429.000,488.000,62289.000,166026.000,145.196
binary,subtract,"{262144}",30,1447.000,2198.000,345670.000,405103.000,238.887
binary,subtract,"{1048576}",30,6225.000,16685.000,2016909.000,2400362.000,324.001
binary,divide,"{256}",30,97.000,746.000,144.000,157.000,1.485
binary,divide,"{1024}",30,102.000,765.000,590.000,617.000,5.784
binary,divide,"{4096}",30,109.000,122.000,10564.000,18338.000,96.917
binary,divide,"{16384}",30,172.000,181.000,11779.000,19314.000,68.483
binary,divide,"{65536}",30,440.000,523.000,65756.000,223810.000,149.445
binary,divide,"{262144}",30,1472.000,2282.000,403371.000,674954.000,274.029
binary,divide,"{1048576}",30,6204.000,6362.000,2364135.000,2746285.000,381.066
binary,pow,"{256}",30,89.000,758.000,153.000,87004.000,1.719
binary,pow,"{1024}",30,94.000,124.000,745.000,1028.000,7.926
binary,pow,"{4096}",30,110.000,816.000,2775.000,9285.000,25.227
binary,pow,"{16384}",30,173.000,209.000,12295.000,19400.000,71.069
binary,pow,"{65536}",30,437.000,529.000,65820.000,248894.000,150.618
binary,pow,"{262144}",30,1448.000,2234.000,454452.000,1111451.000,313.848
binary,pow,"{1048576}",30,6192.000,6928.000,2207343.000,2255873.000,356.483
binary,max,"{256}",30,95.000,810.000,137.000,86100.000,1.442
binary,max,"{1024}",30,99.000,866.000,597.000,1615.000,6.030
binary,max,"{4096}",30,111.000,813.000,2367.000,9936.000,21.324
binary,max,"{16384}",30,177.000,212.000,11058.000,17940.000,62.475
binary,max,"{65536}",30,435.000,509.000,59335.000,67533.000,136.402
binary,max,"{262144}",30,1473.000,2258.000,428631.000,438130.000,290.992
binary,max,"{1048576}",30,6216.000,15726.000,2168311.000,2375596.000,348.827
binary,min,"{256}",30,101.000,751.000,117.000,125.000,1.158
binary,min,"{1024}",30,99.000,113.000,725.000,1726.000,7.323
binary,min,"{4096}",30,118.000,764.000,2769.000,9926.000,23.466
binary,min,"{16384}",30,178.000,233.000,11581.000,21598.000,65.062
binary,min,"{65536}",30,435.000,500.000,64011.000,74703.000,147.152
binary,min,"{262144}",30,2186.000,2255.000,412674.000,740018.000,188.780
binary,min,"{1048576}",30,6177.000,7556.000,2482596.000,2755863.000,401.910
unary,exp,"{256}",30,95.000,767.000,42.000,48.000,0.442
unary,exp,"{1024}",30,91.000,99.000,166.000,93788.000,1.824
