op_name,size,A_bin_us,B_bin_rd_us,C_vulk_us,D_vk_rd_us,E_vk_up_rd_us,D_over_B,D_over_E
concatenate,1024,6.0,161.0,84.0,253.0,304.0,0.64,1.20
concatenate,16384,16.0,8173.0,160.0,9709.0,10738.0,0.84,1.11
concatenate,262144,210.0,86300.0,2320.0,102339.0,132198.0,0.84,1.29
concatenate,1048576,1013.0,392187.0,20799.0,603449.0,626603.0,0.65,1.04
pad,1024,811.0,1295.0,797.0,886.0,923.0,1.46,1.04
pad,16384,15579.0,21125.0,15432.0,21974.0,22108.0,0.96,1.01
pad,262144,458415.0,497838.0,476542.0,547319.0,550671.0,0.91,1.01
pad,1048576,2366095.0,2675637.0,2459484.0,2539274.0,2812604.0,1.05,1.11
put_slice,1024,20.0,133.0,67.0,137.0,197.0,0.97,1.44
put_slice,16384,69.0,6385.0,372.0,6777.0,7274.0,0.94,1.07
put_slice,262144,4530.0,52726.0,9432.0,62427.0,67424.0,0.84,1.08
put_slice,1048576,18870.0,292796.0,39533.0,316192.0,341366.0,0.93,1.08
indexed_put,1024,10.0,81.0,59.0,186.0,218.0,0.44,1.17
indexed_put,16384,16.0,1126.0,353.0,6695.0,7013.0,0.17,1.05
indexed_put,262144,92.0,39123.0,4825.0,53087.0,56715.0,0.74,1.07
indexed_put,1048576,424.0,191262.0,19546.0,300865.0,310802.0,0.64,1.03
broadcast,1024,7.0,76.0,14.0,82.0,135.0,0.93,1.65
broadcast,16384,100.0,6405.0,110.0,6418.0,6760.0,1.00,1.05
broadcast,262144,1571.0,44550.0,1585.0,43294.0,51269.0,1.03,1.18
broadcast,1048576,6260.0,286164.0,6286.0,247644.0,308398.0,1.16,1.25
gather,1024,134.0,163.0,145.0,166.0,174.0,0.98,1.05
gather,16384,1463.0,1908.0,2069.0,3131.0,3108.0,0.61,0.99
gather,262144,33496.0,41647.0,38748.0,42127.0,48667.0,0.99,1.16
gather,1048576,134939.0,178524.0,156516.0,204598.0,214198.0,0.87,1.05
take,1024,38.0,74.0,91.0,154.0,131.0,0.48,0.85
take,16384,390.0,1009.0,751.0,1404.0,1602.0,0.72,1.14
take,262144,8560.0,27865.0,13909.0,34214.0,38305.0,0.81,1.12
take,1048576,36485.0,157683.0,53131.0,179404.0,196776.0,0.88,1.10
