op_class,op_name,shape,n_reps,vulkano_us_median,vulkano_us_p95,binary_us_median,binary_us_p95,speedup
binary,add,"{256}",30,222.000,1126.000,312.000,572.000,1.405
binary,add,"{1024}",30,135.000,415.000,1327.000,2293.000,9.830
binary,add,"{4096}",30,161.000,1149.000,5131.000,5768.000,31.870
binary,add,"{16384}",30,190.000,1211.000,28812.000,41836.000,151.642
binary,add,"{65536}",30,324.000,1532.000,144683.000,156840.000,446.552
binary,add,"{262144}",30,759.000,1912.000,967169.000,1028953.000,1274.267
binary,add,"{1048576}",30,2487.000,3306.000,3241895.000,3500717.000,1303.536
binary,multiply,"{256}",30,141.000,1741.000,191.000,213.000,1.355
binary,multiply,"{1024}",30,139.000,667.000,894.000,1343.000,6.432
binary,multiply,"{4096}",30,191.000,1987.000,3207.000,16974.000,16.791
binary,multiply,"{16384}",30,177.000,1804.000,13094.000,34779.000,73.977
binary,multiply,"{65536}",30,274.000,1898.000,64090.000,74218.000,233.905
binary,multiply,"{262144}",30,606.000,2201.000,921881.000,1090656.000,1521.256
binary,multiply,"{1048576}",30,1808.000,2264.000,3139582.000,3430247.000,1736.494
binary,subtract,"{256}",30,189.000,1109.000,223.000,253.000,1.180
binary,subtract,"{1024}",30,162.000,1574.000,945.000,1030.000,5.833
binary,subtract,"{4096}",30,179.000,1098.000,3864.000,30975.000,21.587
binary,subtract,"{16384}",30,274.000,1108.000,15390.000,52598.000,56.168
binary,subtract,"{65536}",30,330.000,1019.000,150312.000,260936.000,455.491
binary,subtract,"{262144}",30,625.000,1949.000,886864.000,966085.000,1418.982
binary,subtract,"{1048576}",30,1776.000,3451.000,3140138.000,3605012.000,1768.096
binary,divide,"{256}",30,256.000,1106.000,228.000,269.000,0.891
binary,divide,"{1024}",30,166.000,882.000,888.000,34064.000,5.349
binary,divide,"{4096}",30,159.000,1029.000,3576.000,34514.000,22.491
binary,divide,"{16384}",30,278.000,1152.000,15349.000,50901.000,55.212
binary,divide,"{65536}",30,370.000,1165.000,159392.000,168198.000,430.789
binary,divide,"{262144}",30,665.000,1864.000,1021793.000,1049466.000,1536.531
binary,divide,"{1048576}",30,1740.000,3410.000,3505830.000,3611768.000,2014.845
binary,pow,"{256}",30,148.000,786.000,169.000,188.000,1.142
binary,pow,"{1024}",30,167.000,1167.000,929.000,33458.000,5.563
binary,pow,"{4096}",30,248.000,1158.000,3435.000,30124.000,13.851
binary,pow,"{16384}",30,183.000,2767.000,16276.000,50299.000,88.940
binary,pow,"{65536}",30,337.000,1068.000,160730.000,171192.000,476.944
binary,pow,"{262144}",30,664.000,1453.000,1027790.000,1105025.000,1547.877
binary,pow,"{1048576}",30,1758.000,3153.000,3513418.000,3644816.000,1998.531
binary,max,"{256}",30,269.000,1271.000,327.000,427.000,1.216
binary,max,"{1024}",30,162.000,457.000,1504.000,114807.000,9.284
binary,max,"{4096}",30,272.000,1130.000,2509.000,16379.000,9.224
binary,max,"{16384}",30,268.000,1179.000,8663.000,27949.000,32.325
binary,max,"{65536}",30,334.000,1222.000,62237.000,72673.000,186.338
binary,max,"{262144}",30,655.000,1267.000,907383.000,1025609.000,1385.318
binary,max,"{1048576}",30,1761.000,2576.000,3226279.000,3475567.000,1832.072
binary,min,"{256}",30,211.000,1093.000,341.000,109370.000,1.616
binary,min,"{1024}",30,216.000,514.000,1356.000,1691.000,6.278
binary,min,"{4096}",30,271.000,1074.000,2924.000,18884.000,10.790
binary,min,"{16384}",30,374.000,1320.000,8528.000,32059.000,22.802
binary,min,"{65536}",30,262.000,1052.000,63964.000,75731.000,244.137
binary,min,"{262144}",30,613.000,1333.000,935884.000,1121062.000,1526.728
binary,min,"{1048576}",30,1690.000,2333.000,3242050.000,3584317.000,1918.373
unary,exp,"{256}",30,209.000,557.000,153.000,319.000,0.732
unary,exp,"{1024}",30,205.000,1122.000,429.000,522.000,2.093
unary,exp,"{4096}",30,213.000,1057.000,1713.000,7626.000,8.042
unary,exp,"{16384}",30,224.000,1090.000,3081.000,12663.000,13.754
unary,exp,"{65536}",30,285.000,1184.000,10016.000,13510.000,35.144
unary,exp,"{262144}",30,633.000,1383.000,47520.000,121087.000,75.071
unary,exp,"{1048576}",30,1805.000,2696.000,177892.000,397768.000,98.555
unary,log,"{256}",30,213.000,1157.000,55.000,105.000,0.258
unary,log,"{1024}",30,244.000,1227.000,211.000,231.000,0.865
unary,log,"{4096}",30,228.000,1117.000,837.000,1542.000,3.671
unary,log,"{16384}",30,143.000,1105.000,3363.000,3487.000,23.517
unary,log,"{65536}",30,272.000,1085.000,13506.000,19425.000,49.654
unary,log,"{262144}",30,520.000,815.000,61199.000,67075.000,117.690
unary,log,"{1048576}",30,1668.000,2544.000,247644.000,637143.000,148.468
unary,sqrt,"{256}",30,303.000,3608.000,34.000,70.000,0.112
unary,sqrt,"{1024}",30,238.000,684.000,136.000,154.000,0.571
unary,sqrt,"{4096}",30,281.000,1395.000,550.000,596.000,1.957
unary,sqrt,"{16384}",30,164.000,577.000,2161.000,10832.000,13.177
unary,sqrt,"{65536}",30,347.000,1440.000,10881.000,13013.000,31.357
unary,sqrt,"{262144}",30,661.000,2474.000,42346.000,46723.000,64.064
unary,sqrt,"{1048576}",30,1688.000,3019.000,171532.000,175290.000,101.618
unary,abs,"{256}",30,227.000,1177.000,33.000,77.000,0.145
unary,abs,"{1024}",30,227.000,1169.000,130.000,142.000,0.573
unary,abs,"{4096}",30,225.000,1006.000,504.000,538.000,2.240
unary,abs,"{16384}",30,236.000,1044.000,2048.000,3631.000,8.678
unary,abs,"{65536}",30,350.000,1112.000,8076.000,10994.000,23.074
unary,abs,"{262144}",30,675.000,1780.000,35662.000,45840.000,52.833
unary,abs,"{1048576}",30,1944.000,2708.000,146397.000,162717.000,75.307
unary,negate,"{256}",30,137.000,502.000,34.000,85.000,0.248
unary,negate,"{1024}",30,143.000,1522.000,132.000,149.000,0.923
unary,negate,"{4096}",30,169.000,1163.000,544.000,929.000,3.219
unary,negate,"{16384}",30,163.000,1118.000,2165.000,3924.000,13.282
unary,negate,"{65536}",30,300.000,1147.000,8756.000,11051.000,29.187
unary,negate,"{262144}",30,556.000,1201.000,54450.000,56540.000,97.932
unary,negate,"{1048576}",30,1694.000,2063.000,140044.000,152336.000,82.671
unary,sigmoid,"{256}",30,208.000,1075.000,62.000,84.000,0.298
unary,sigmoid,"{1024}",30,216.000,490.000,273.000,288.000,1.264
unary,sigmoid,"{4096}",30,131.000,1088.000,1165.000,1189.000,8.893
unary,sigmoid,"{16384}",30,152.000,1098.000,3712.000,3942.000,24.421
unary,sigmoid,"{65536}",30,370.000,1284.000,17573.000,20129.000,47.495
unary,sigmoid,"{262144}",30,524.000,1349.000,85121.000,92556.000,162.445
unary,sigmoid,"{1048576}",30,1972.000,2588.000,292040.000,590784.000,148.093
unary,tanh,"{256}",30,212.000,1413.000,44.000,110.000,0.208
unary,tanh,"{1024}",30,124.000,1088.000,176.000,311.000,1.419
unary,tanh,"{4096}",30,216.000,1148.000,690.000,1200.000,3.194
unary,tanh,"{16384}",30,236.000,1487.000,2692.000,3163.000,11.407
unary,tanh,"{65536}",30,288.000,3401.000,12411.000,16932.000,43.094
unary,tanh,"{262144}",30,569.000,1951.000,55713.000,60721.000,97.914
unary,tanh,"{1048576}",30,1973.000,2776.000,223914.000,560136.000,113.489
unary,floor,"{256}",30,122.000,1553.000,34.000,78.000,0.279
unary,floor,"{1024}",30,137.000,1384.000,130.000,166.000,0.949
unary,floor,"{4096}",30,137.000,364.000,539.000,1013.000,3.934
unary,floor,"{16384}",30,147.000,1490.000,2128.000,3581.000,14.476
unary,floor,"{65536}",30,272.000,1555.000,8598.000,11281.000,31.610
unary,floor,"{262144}",30,595.000,1444.000,51298.000,92143.000,86.215
unary,floor,"{1048576}",30,1718.000,2929.000,158766.000,194043.000,92.413
unary,ceil,"{256}",30,167.000,1485.000,36.000,73.000,0.216
unary,ceil,"{1024}",30,175.000,1505.000,141.000,334.000,0.806
unary,ceil,"{4096}",30,171.000,1342.000,545.000,1031.000,3.187
unary,ceil,"{16384}",30,198.000,1157.000,2183.000,2219.000,11.025
unary,ceil,"{65536}",30,299.000,1441.000,11236.000,12826.000,37.579
unary,ceil,"{262144}",30,692.000,1603.000,38524.000,53902.000,55.671
unary,ceil,"{1048576}",30,2033.000,2622.000,171527.000,200796.000,84.371
unary,sign,"{256}",30,151.000,1227.000,44.000,72.000,0.291
unary,sign,"{1024}",30,148.000,1216.000,172.000,181.000,1.162
unary,sign,"{4096}",30,147.000,265.000,696.000,1070.000,4.735
unary,sign,"{16384}",30,168.000,1430.000,2777.000,4279.000,16.530
unary,sign,"{65536}",30,245.000,1385.000,14648.000,23840.000,59.788
unary,sign,"{262144}",30,567.000,1679.000,57891.000,75271.000,102.101
unary,sign,"{1048576}",30,1736.000,2811.000,180965.000,228675.000,104.243
reduction,sum all-axes,"{256}",30,149.000,1562.000,39.000,51.000,0.262
reduction,sum all-axes,"{1024}",30,220.000,2210.000,138.000,149.000,0.627
reduction,sum all-axes,"{4096}",30,711.000,2861.000,801.000,870.000,1.127
reduction,sum all-axes,"{16384}",30,2346.000,4709.000,3483.000,4247.000,1.485
reduction,sum all-axes,"{65536}",30,5712.000,7631.000,9474.000,17674.000,1.659
reduction,sum all-axes,"{262144}",30,16065.000,17003.000,84839.000,86947.000,5.281
