op_name,size,A_bin_us,B_bin_rd_us,C_vulk_us,D_vk_rd_us,E_vk_up_rd_us,D_over_B,D_over_E
concatenate,1024,7.0,326.0,101.0,584.0,811.0,0.56,1.39
concatenate,16384,97.0,9078.0,150.0,15611.0,25206.0,0.58,1.61
concatenate,262144,718.0,186304.0,1877.0,197901.0,363628.0,0.94,1.84
concatenate,1048576,775.0,584398.0,4727.0,1004791.0,1536730.0,0.58,1.53
pad,1024,784.0,1052.0,1111.0,1257.0,1419.0,0.84,1.13
pad,16384,19559.0,24775.0,30764.0,31889.0,39949.0,0.78,1.25
pad,262144,924319.0,1027439.0,946392.0,1060065.0,1105822.0,0.97,1.04
pad,1048576,4257848.0,4814096.0,4242975.0,4827472.0,5449349.0,1.00,1.13
put_slice,1024,72.0,267.0,171.0,338.0,475.0,0.79,1.41
put_slice,16384,256.0,8143.0,2261.0,16958.0,19285.0,0.48,1.14
put_slice,262144,10232.0,118677.0,52031.0,165981.0,209500.0,0.72,1.26
put_slice,1048576,24232.0,665755.0,214656.0,819198.0,1037802.0,0.81,1.27
indexed_put,1024,10.0,102.0,184.0,455.0,584.0,0.22,1.28
indexed_put,16384,73.0,7081.0,2332.0,16742.0,15332.0,0.42,0.92
indexed_put,262144,1527.0,75645.0,42593.0,151145.0,186919.0,0.50,1.24
indexed_put,1048576,8501.0,431712.0,170483.0,804726.0,974709.0,0.54,1.21
broadcast,1024,35.0,139.0,47.0,152.0,251.0,0.91,1.65
broadcast,16384,506.0,2002.0,457.0,10922.0,7727.0,0.18,0.71
broadcast,262144,3567.0,88690.0,4776.0,79953.0,124670.0,1.11,1.56
broadcast,1048576,19032.0,522531.0,19038.0,516518.0,722652.0,1.01,1.40
gather,1024,159.0,165.0,343.0,293.0,398.0,0.56,1.36
gather,16384,2105.0,3026.0,6562.0,8557.0,9600.0,0.35,1.12
gather,262144,21667.0,31928.0,103910.0,128396.0,142011.0,0.25,1.11
gather,1048576,108467.0,235799.0,391234.0,498581.0,557034.0,0.47,1.12
take,1024,51.0,116.0,230.0,304.0,372.0,0.38,1.22
take,16384,489.0,2699.0,3315.0,7765.0,8981.0,0.35,1.16
take,262144,7649.0,54986.0,58024.0,102204.0,127145.0,0.54,1.24
take,1048576,31940.0,313284.0,245128.0,522159.0,629952.0,0.60,1.21
